Cod.Marca | Cod.Modelo | Cod.Submodelo | Nomb.Sub-Modelo 
003|001|001|TU1JP 8V
004|002|001|B12D3 16V
004|001|002|B12D1 16V
012|001|001|555
001|001|001|A15DM 8V
001|002|001|A16DMS 16V
004|004|001|DIESEL
004|003|001|DIESEL
003|002|001|384F 16V
003|003|001|EB2F 16V
003|004|001|EB2F 16V
003|005|001|TU1F 8V
003|006|001|DV4 8V
003|007|001|DV4 8V
003|008|001|DV4 8V
003|009|001|EB2 16V
003|010|001|DV6 8V
003|011|001|DV6 8V
003|012|001|XR5 8V
003|013|001|TU3 8V
003|014|001|DV6 16V
003|015|001|EB2 16V
003|016|001|TU3 8V
004|005|001|DS.
004|006|001|Z20 DS
004|006|002|Z22 DS
004|006|003|Z24 DS
004|007|001|C16XE 16V
004|007|002|X18ER 16V
004|007|003|C20NE 8V
004|007|004|Z16 ENJOY
004|007|005|Z20 GTC
004|007|006|Z20 OPC
004|008|001|F14D3 SDN
004|008|002|F14D3 SDN
004|008|003|F14D3 SDN
004|009|001|B10S 8V
004|009|002|F8CV 8V
004|010|001|B12D3 16V
003|001|002|TU3AF 8V
003|001|003|TU3JP 8V
003|001|004|TU5JP 8V
003|002|002|DV4 8V
003|003|002|EB2F 16V
003|004|002|DV4 8V
003|004|003|DV6 8V
003|004|004|EP6 16V
003|005|002|TU1JP 8V
003|005|003|TU3JP 8V
003|006|002|TU3 8V
003|006|003|TU3JP 8V
003|006|004|TU5JP 8V
003|006|005|TU5JP4 16V
003|006|006|EW10 16V
003|007|002|EP3 16V
003|007|003|ET3 16V
003|007|004|TU3JP 8V
003|007|005|DV6 8V
003|007|006|DV6 16V
003|007|007|EP6 16V
003|008|002|TU3JP 8V
003|008|003|TU5JP4 16V
003|009|002|DV4 8V
003|009|003|DV6 8V
003|009|004|EP6 16V
003|010|002|DV6 16V
003|010|003|EP6 16V
003|010|004|DW10 16V
003|011|002|EC5 16V
003|012|002|XU51 8V
003|013|002|TU5JP 8V
003|013|003|XU7 8V
003|014|002|TU5JP4 16V
003|014|003|EW10 16V
003|014|004|DW10 8V
003|015|002|DV6 8V
003|015|003|DV6 16V
003|015|004|EP6 16V C/T
003|015|005|EP6 16V S/T
003|015|006|DW10 16V
003|016|002|XU5 8V
003|017|001|DV6 8V
003|018|001|XU5 8V
003|018|002|XU5M 8V
003|018|003|XU7JP 8V
003|018|004|XU9 8V
003|018|005|XU10 8V
003|019|001|EW7 16V
003|019|002|XU7JP 8V
003|019|003|DW10 8V
003|019|004|EW10 16V
003|019|005|XU10 16V
003|019|006|EW12 16V
003|019|007|ES9 16V
003|020|001|DV6 16V
003|020|002|EW7 16V
003|020|003|DW10 8V
003|020|004|EW10 16V
003|020|005|EW12 16V
003|020|006|ES9 16V
003|021|001|DV6 8V
003|021|002|DW10 16V
003|022|001|DV6 16V
003|022|002|EP6 16V
003|022|003|DW10 16V
003|022|004|DW12 16V
003|023|001|F13 16V
003|023|002|DV4 8V
003|023|003|TU3JP 8V
003|024|001|XUD9 8V
003|024|002|DW10 8V
003|024|003|XU10 8V
003|024|004|DJ5 8V
003|024|005|JTD 8V
003|025|001|22DT 16V
003|025|002|F30DT 16V
003|026|001|DV6 8V
003|026|002|DV6 16V
003|026|003|DW10 16V
003|027|001|TU3 8V
003|027|002|TU3JP 8V
003|027|003|DV6 8V B9
003|027|004|DV6 16V
003|027|005|DW8 8V
003|027|006|DW8B 8V
003|027|007|XUD9 8V
003|028|001|EP6 16V
003|029|001|DW10 16V
010|001|001|TU1 8V
010|001|002|TU1JP 8V
010|001|003|TU3 8V
010|001|004|TU3F 8V
010|002|001|TU3 8V
010|002|002|TU3JP 8V
010|002|003|TU5JP4 16V
010|002|004|DV6 16V
010|002|005|DV6 8V B9
010|002|006|XUD9 8V
010|002|007|DW8 8V
010|002|008|DW8B 8V
010|003|001|DV6 8V
010|003|002|EC5 16V
010|004|001|1KRFE 16V
010|004|002|DV4 8V
010|005|001|TU1 8V
010|005|002|XUD7 8V
010|005|003|DW8 8V
010|005|004|XUD9 8V
010|006|001|DV4 8V
010|006|002|ET3J4 16V
010|006|003|TU3JP 8V
010|006|004|TU5JP4 16V
010|007|001|EB2 16V
010|007|002|DV4 8V
010|007|003|ET3J4 16V
010|007|004|TU3JP
010|007|005|DV6 8V
010|007|006|DV6 16V
010|007|007|EP6 16V
010|007|008|TU5JP4 16V
010|008|001|EB2 16V
010|008|002|ET3J4 16V
010|008|003|DV6 8V
010|008|004|DV6TED4 16V
010|008|005|EP6 16V
010|008|006|TU5JP4 16V
010|008|007|EW7J4 16V
010|008|008|DW10CTED4 16V
010|008|009|DW10TD 8V
010|008|010|EW10J4S 16V
010|009|001|DV6TED4 16V
010|009|002|EW7J4 16V
010|009|003|DW10TD 16V
010|009|004|EW10J 16V
010|009|005|ES9J4 16V
010|010|001|EB2F 16V
010|010|002|ET3J4 16V
010|010|003|DV6DT 8V
010|010|004|EP6 16V (S/T)
010|011|001|EP6 16V
010|011|002|DV6 8V
010|012|001|DW10 16V
010|013|001|XUD9 8V
010|013|002|DW10 8V
010|013|003|XU10 8V
010|013|004|DJ5 8V
010|013|005|JTD 8V
010|014|001|22DT 16V
010|014|002|F30DT 16V
010|015|001|DV6 8V
010|015|002|DV6 16V
010|015|003|DW10 16V
010|016|001|F13DTE 16V
010|016|002|DV4 8V
010|016|003|TU3JP 8V
010|017|001|TU3JP 8V
010|017|002|TUD5 8V
010|017|003|TU5JP 8V
010|018|001|DW10 16V
010|019|001|XU7JP4 16V
010|019|002|XUD9 8V
010|019|003|XU10 16V
010|020|001|TU3JP 8V
010|020|002|DV6 16V
010|020|003|TU5JP 8V
010|020|004|TU5JP4 16V
010|020|005|EW7 16V
010|020|006|XU7JP4 16V
010|020|007|DW8 8V
010|020|008|DW10 8V
010|020|009|EW10 16V
010|020|010|XU10 16V
010|021|001|TU3 8V
010|021|002|XU5JP 8V
010|021|003|XU7JP 8V
010|021|004|XU7JP4 16V
010|021|005|XUD9 8V
010|021|006|XU10 16V
014|001|001|1NZFE 16V
003|027|008|DV6 8V K9
010|002|009|DV6 8V K9
014|002|001|1NZFE
014|003|001|1NZFE 16V
004|011|001|A16DMS 16V
009|001|001|E13 8V
004|012|001|Z24 16V
004|012|002|A24 16V
010|002|010|DV5 16V
003|004|005|DV5 16V
003|010|005|DV5 16V
003|015|007|DV5 16V
003|022|005|DV5 16V
003|027|009|DV5 16V
004|014|001|N400
004|015|001|F14D LCU
001|003|001|1.5 AGMF
001|004|001|1.5
032|001|001|2.0
037|001|001|MOTOR1
038|001|001|KIA 2
038|001|002|JAIME33
038|002|001|JAIME222
013|001|001|ASIA SUBMODELO
025|001|001|SUB.BAIC
013|002|001|CHR.
